comment,debt
batch option remov mapstat favor parallel process exist opaqu transact logic handl consist cassandra batch statement troubl theyr worth,code/design_debt
would chang need touch packag name sourc includ apach chang packag name orgapachetrafodion sourc file layout make consist,code/design_debt
might easier read use multipl line,code/design_debt
let put paramet make method bit general,code/design_debt
seed necessari sinc use approxquantil ad spark remov involv break chang,code/design_debt
maektwain iter follow process describ httpsgithubcomapachefineractpullrequest smilingimp add well could written clear readm improv smileycat,documentation_debt
think case unnecessari executorsid reduc might invok addit map task although return singl element minor concern thing takeord introduc rdd api earlier treereduc guess may consid use treereduc place natur takeord sequenc element collect driver reduc sound good fit treereduc partial reduc collect driver overhead sound like tradeoff driver side usual bottleneck case driversid reduc parallel also bound local memori data total okay close doesnt sound good direct,code/design_debt
super nit order swap import,code/design_debt
point function export document thread alway use user would need set optionsarrowusethread turn,documentation_debt
reason doesnt handl error dont think need new inner method also duplic job cleanup code,code/design_debt
ignite11261 flaki testtestnaivebagginglogregress,test_debt
relaytest remov redund test case testoplevel4pi,code/design_debt
bad accord tidyvers style guid believ tri follow httpsstyletidyverseorgfunctionshtmllonglines1 get use whatev style convent decid want make sure agreement,code/design_debt
also there need stringformat precondit interpol realiz stringformatwa let take chanc get rid,code/design_debt
fact tabl qualifi name may long addit may need add catalog name databas name distinguish tabl name,code/design_debt
hmm sure mayb happen jvm write stderr that annoy probabl fine initi worri might get long filenam wouldnt abl extract log window,code/design_debt
afaik dont style guid java code think put space cast,code/design_debt
feel like collect redund get name internaltopicconfig perhap,code/design_debt
nit possibl addit test statement minut second togeth line 743 make sure never mind miss land alreadi branch24,code/design_debt
rather use mute think would much clearer alia boolean name guaranteeexpirationord similar guaranteemessageord boolean sender,code/design_debt
also like see test lead space,test_debt
concern dbtsai comment consum api alreadi cach dataset learn phase without user care introduc effect doubl cach term data size cach rdds caus mani job fail upgrad exceed avail heap rdd cach furthermor make assumpt cach inmemori case parameteris perhap help send messag api cach also done learn fwiw inmemori definit right default choic see email thread dev specif encount bug httpmailarchivesapacheorgmodmboxsparkdev201502mbox3ccah5mzvmbjqost9nr90001z1ruodfsiczrfv9000wqdfqamnlc2zw40mailgmailcom3,code/design_debt
need think reus utf8str object trivial decis like leav,code/design_debt
flink21609test remov usag localcollectionoutpuformat simplerecoveryitcasebas,code/design_debt
still think need better name pendinginsyncreplicaid sinc mislead case mayb could call overrideinsyncreplicaid someth like,code/design_debt
remov sentenc need anymor,code/design_debt
actual think safe fix need adjust valu test easiest way allow intern configur problem integr test hard set configur valu runtim compon otherwis,code/design_debt
think delnotsatisfi safe youd better chang dcheck check,requirement_debt
min macro use also would use sizeofbuff instead magic number,code/design_debt
comment necessari,documentation_debt
spark16008ml remov unnecessari serial logist regress,code/design_debt
rep onurkaraman removegroup alway guard group lock insid groupcoordin getgroup addgroup sinc group object avail yet make clear comment rep junrao ack,documentation_debt
nit use multilin string,code/design_debt
look good still anoth thoughtno bind follow ignor sinc root caus narrow window queuepacket cleanup synchron objectlock also altern way one better sinc outgoingqueu critic queue client talk server synchron outgoingqueu perform futur program extens issu haha also test global inner word follow way new two differ zookeep client creat znode print hashcod outgoingqueu state realli hold differ outgoingqueu hashcod state realli confus believ differ client differ state instanc otherwis one client call closeset state close affect anoth client howev use follow way cannot reason javap see bytecod valu set state public static final realli globalshar multicli synchron enum also threadsaf look demo attach jira word enum heresi,code/design_debt
simplifi,code/design_debt
ive renam made confus imagin leveldb there separ suit leveldb kvstore sound better,code/design_debt
messag look littl bit mislead mistaken,code/design_debt
sirpkt patch look good one suggest test method name prefix test exampl lastvalue1 testlastvalue1 trivial immedi commit patch fix,code/design_debt
could add short comment field explain need catalogmanagercalciteschema catalogschemat databasecalciteschema exampl,documentation_debt
remov useless shortopt,code/design_debt
quick question avoid catch nullpointerexcept bit odd catch nullpointerexcept could switch ifels guess,code/design_debt
input first input output next output variabl,documentation_debt
purpos chang current error thrown runasync method swallow flink didnt handl throwabl akkarpcactor temporari fix case yarnresourcemanag use trycatch wrap runnabl invok runasync method reus fatalerrorhandl handl error add new unit test,code/design_debt
unnecessari whitespac,code/design_debt
sborya agre pretti convolut howev prateekm discuss option extens past work samza1212httpsissuesapacheorgjirabrowsesamza1212 explain fulli clear wirein sourc stop caus stop streamprocessor across compon dont believ straightforward pass throwabl could work becom particular tricki bound job job decid stop use taskcoordin approach suggest equival thread needl end pass around statesourc stop across compon api callback altern straightforward solut imo clear defin state model compon persistmanag status streamprocessor way make easier streamprocessor take remedi step discuss howev simpli bugfix scrutin refactoringbehavior api separ threadjira think,code/design_debt
could add check verifi return iter empti someth along line assertthatiteratorhasnext isfals could also add test rang queri start key equal end key unit test ensur correct behaviour special case nit would renam test shouldreturnemptyiteratorforrangequerywithinvalidkeyrang correct wrong think empti iter invalid key rang point negat start key would even chang rang took bit understand invalid rang comment appli also unit test,code/design_debt
typo leastindexsleastindex,documentation_debt
test orgapachecamelquarkuscorecoretesttestlookuprout todo 2nd rout routebuilderconfigur discov use produc annot jee camel cannot discov sure make possibl regular routebuild class discov via jandex index ad record magic would assum produc annot cdije would also work sinc bean inject somewher arc may trigger mayb need jandex magic discov method return routebuilderconfigur annot produc record method whatev need done,test_debt
hard code good way,code/design_debt
usergrid415 push chang make duplic properti readabl,code/design_debt
minor unnecessari space put,code/design_debt
think make sens reus definit,code/design_debt
fix exampl document separ,documentation_debt
