text,label,document_index,subset
need tri ensur chanc send abort go poll think seem littl simpler move hasabortableerror check maybesendandpolltransactionalrequest longer need chang,code/design_debt,105,train
mmm infra complain use jenkin build updat center also note extrem slow,code/design_debt,106,train
unus default constructor,code/design_debt,110,train
know inmemoryexternalcatalog hasnt implement interfaceseg partit relat one intent,requirement_debt,111,train
remov lodashthrottl depend sinc lodash add babelpluginlodash help optim bundl output take necessari part lodash instead entir bundl httpsgithubcomlodashbabelpluginlodash replac underscor call lodash applic williast xtinec conglei,code/design_debt,112,train
doc need someth like pipelin consist sequenc stage either estim transform fit transform call stage execut order stage may modifi dataset pass next stage mayb say someth happen stage,documentation_debt,113,train
mean remov addpkcolumn variabl chang statement someth like follow,code/design_debt,114,train
nit stick top line gab orgapach stuff least tri make import order wors,code/design_debt,115,train
fix 5589 seem memori leak pulsarfunctiongo librari implement simpl pulsar function worker write log use pulsarfunctiongologutil send log log topic tri longterm test send request messag consecut input topic check feasibl test face producerqueueisful error logtop option observ indefinit grown memori usag pulsar function worker process clear strentri variabl finish addlogtopichandl function regardless log messag append logger clear caus memori leak strentri grown indefinit moreov function set logtop topic could get accumul huge messag caus producerqueueisful error verifi reproduc step describ issu 5589,code/design_debt,117,train
yeah see doc though set way cdh least mayb instal never need configur file certain way dunno seem bad silent ignor unread file least log mayb warn sound like there one file could reason expect unread special case warn anyth els fail anyth els rather tighten way silent,code/design_debt,118,train
ad test case negat number boundari condit,test_debt,119,train
remov configuiactionsen least deprec,code/design_debt,120,train
sure introduc addit constraint like total size scan byte suggest improv featur later correct elimin howev client wait page oper complet fail return applic addit improv reduc race condit think enforc client side timestamp make race almost imposs expect featur improv overal perform avail sinc page limit memori usag time hold server resourc experi page real cluster posit seen negat impact yet long page size small less 1000,code/design_debt,121,train
default valu number delta commit requir inlin compact hoodiecompactinlinemaxdeltacommit current default everi delta commit merg read tabl inlin compact well automat think default valu littl overkil also make merg read work like copi write compact everi run props increaset valu old default pull request trivial rework code cleanup without test coverag,code/design_debt,122,train
note person discuss found hard grasp code use unit return function resolv promis point read like block code result make sens point ild prefer use futur composit possibl becom appar fact return futur resolv soon ackmessag,code/design_debt,123,train
data parser wrote would duplic code alreadi implement inhous url class wrote go make chang request dont want delay featur either parser remov eventu elimin duplic code also environ variabl general enough data sourc think env parser ad urlstreamhandl place use via inhous url class token plugin special case renam raw could use place,code/design_debt,124,train
may doabl documentedclear think ad timezon got work display side rather got use custom control decor field get convert,documentation_debt,125,train
fell crack let reviv seem like long term solut use wtform rip mvc fab scaffold time get null problem uniqu constraint appli proper affect user direct guess may affect filter function crud list view,code/design_debt,126,train
way test still doesnt catch bug your fix httpsissuesapacheorgjirabrowseflink8286 think need proper endtoend test realli test flinkkerbero integr actual yarn cluster start look onto use docker compos bring hadoop cluster docker kerbero run flink endtoend test,test_debt,127,train
problem case process singl element case mean emit quit mani element downstream cost structuralvalu pretti much amort would say could someth calcul per element dont think use refer either unboundedsourc serializ runner free clone directrunn afaik best solut would seem mark initi split via splitrestrict restrict uniqu transfer residu restrict alway one activ either current process nonnul residu restrict could use identifi reader without referenc sourc might problemat implement hashcod andor equal unboundedsourc common practic afraid,code/design_debt,130,train
section titl interoper languag class type correct namespac packag remov duplic tabl caption davebarnes97 joeymcallist dgkimura mmartel echobravopapa pivotalsarg pleas review most namespac chang doc,code/design_debt,131,train
ambud code look good except vesens comment two thing address would better document new configur without document endus idea ad featur externalstormhbasereadmemd docsstormhbasemd code alreadi use jdk api mapgetordefault cant get could provid new branch would also great test caffein jre7 expect work document precondit jre version jre8 expect work benman expect right thank advanc,documentation_debt,132,train
cleanup variabl name think would help lot test confus know copi past would nice clean also test assert one file file one file archiv one file file archiv,code/design_debt,133,train
need explan use user use,documentation_debt,134,train
minor guess first error condit happen way often second get messag say invalid lot less clear say doesnt exist break includ specif error messag either case also might nice print valu filesystem error messag know filesystem infer path,code/design_debt,135,train
method doesnt alway creat new deployrequest name appropri say addormodifydeployrequest getdeployrequestforcontainerid way would error case find exist deployrequest given containerid exampl call streamingcontainermanagerschedulecontainerrestart wouldnt error find exist request true add code detect error caller pass paramet indic new request expect creat,code/design_debt,136,train
fix flaki test porttelnethandlertest,test_debt,137,train
shouldnt remov intend general purpos class log handl compress buffer logic notic replac printwrit elsewher even new name scheme still use class event log simplifi eventlogginglisten bunch,code/design_debt,138,train
rdhabalia mayb name nondurablecursor doesnt fulli convey intend semant new class context way read topic support topicread reus much code possibl regular cursor implement basic cach code logic switch next valid posit plus asyncreadorwait stuff non imped messag delet consid case nondur topic disconnect cursor away data get potenti delet anyway prefer explicit ingrain api thing name cursor away case restart dont see advantag name data get delet cursor skip intend usag nondur cursor topic reader conjunct messag retent make sure data stick around intend amount time,code/design_debt,139,train
well point check simplifi dont think recordhead null true guarante header object sure simplifi second check iter header map string comparison find header key seem rather heavi,code/design_debt,140,train
think creat callback open method pass instanc async call way save lot instanc creation,code/design_debt,144,train
work ask lot column row need could tri chang return insid function return tisal return tis line could becom httpsdocssqlalchemyorgen13ormloadingcolumnshtmlloadonlyandwildcardopt think worth worth,code/design_debt,145,train
yes max input sysmaxint get increas bucket size safe purpos mayb unnecessari dont think one bucket per counter cost mani memori,code/design_debt,146,train
definit fix apiv1applicationsappidlog acl look like protect apirootresourcejava app need someth like withsparkui get acl includ applic like mention list apiv1appl apiv1applicationsappid info believ list intent left open dont realli see reason chang peopl use case perhap make page protect acl configur histori server would expect sparkaclsenablefals sparkhistoryuiaclsenabletru see could confus perhap document better sparkaclsen histori realli protect root app level ui could explicit turn,code/design_debt,147,train
caught scala linter follow java style comment see code document style httpsparkapacheorgcontributinghtml,code/design_debt,148,train
store never null thus dont need chang also check isempti give much still call addal even store empti,code/design_debt,149,train
nifi5790 remov last test caus race condit intermitt,test_debt,150,train
1682 enhanc test coverag part4 dubbocommonsrcmainjavacomalibabadubbocommonstatusstorethreadpoolutil modul dubbocommonsrctestjavacomalibabadubbocommonutilsurlutilstestjava xxxxx,test_debt,151,train
share deriv yesterdayd executiond macro doc,documentation_debt,152,train
hzxa21 thank code review consist happen window platform seen peopl complain similar issu linux flavor consensus issu popular linux flavor classic window problem handl open file ntfs allow renam move delet file handl open file requir close renam much issu linux way linux file system implement way file implement linux allow renam move delet file even open handl way think patch renam file directori alway close file channel applic linux well fundament scenario delet directori sinc topic delet delet segment file cleaner thread believ close log file case log delet close segment case segment file cleanup sinc one read file safe close swap flow clean file renam swap file renam actual log file also believ segment close renam reopen swap overal gist file close renam open back requir applic linux well yes initi implement chang renam file method chang turn ugli abandon pull request done way httpsgithubcommicrosoftkafkapull17fil problem need reopen delet file put check reopen delet file also result chang mani place also felt like cleaner fix solv root problem close segment renam delet also want generic fix rather specif window yes add test case want get initi feedback idea ad test,code/design_debt,153,train
add test around earli publish load sequenc data disk,test_debt,154,train
enter requir otherwis document render correct,documentation_debt,155,train
write new buffer connect closedwrit call connectionwak closedread closedwrit fix crash still work left leak messag buffer server connect close client connect,code/design_debt,156,train
make sens remov assert complet unrel fix also ad comment test,code/design_debt,159,train
feel increas timeout wont cut doesnt sound like real solut unfortun dont understand much schedular job proper say think perform issu need figur deal,code/design_debt,160,train
minor suggest chang commit titl replac threadsleep testhelperverifi fix flaki unit test,test_debt,161,train
may add class conveni may need design inlin origin class,code/design_debt,162,train
seem test decim precis map may issu mention code slip unit test catch,test_debt,163,train
afaict never use remov,code/design_debt,164,train
rethrow runtimeexcept,code/design_debt,165,train
comment code longer need,code/design_debt,166,train
deprec method use,code/design_debt,167,train
remov detail sinc say librari deprec longer want use,code/design_debt,168,train
exist withcolumn ad metadata simpli use exist public withcolumn api exist test case cover,code/design_debt,169,train
think back there question keep limit joshrosen yes that end clear sever way sever place happen easiest ignor except,code/design_debt,170,train
hdfs15731 reduc threadcount unit test reduc memori usag,code/design_debt,173,train
thought bit tricki sinc could dynam base class tostr function trigger first let think see come clean solut,code/design_debt,174,train
seem itd worth factor context includ expans servic jar test,code/design_debt,175,train
redund,code/design_debt,177,train
nit redund convers,code/design_debt,178,train
per code standard pleas wrap block cur brace,code/design_debt,179,train
null code use index list null code get index tabl implement upcom,requirement_debt,181,train
also mayb complet unnecessari automat attach sourc timestamp dont window oper one thing came mind order keep determinist result failur persist data timestamp attach sourc plan guess question goe hand hand automat sourc level backup even without kafka want bring,code/design_debt,184,train
null sortscop remov check insid carbonutilisvalidsortopt,code/design_debt,186,train
current set integr test doesnt test new function ad mere check see noth els broken freez skim mail didnt see anyth master frozen see blocker defect 41000 latest understand anybodi merg requir code lgtms bvt run smoke test broken environ issu talk new releas 490 broken testsfeatur,test_debt,187,train
think explicit want prewarm pool surviv action would benefit use space perform optim guarante wouldnt also plumb control send request path might get execut think warrant devlist discuss,code/design_debt,188,train
npuint64 npint32 consist scala implement,code/design_debt,189,train
mayb add final instead,code/design_debt,190,train
work issu found empti class propos remov use caus confus local test,code/design_debt,191,train
one oper fluent seem inconsist context manipul isnt shouldnt common oper see also quit recent contextmergecopi,code/design_debt,193,train
yea default valu hardcod also agre show precis messag use config better,code/design_debt,194,train
realli good work rpogalz minor comment concern style test case like approach split implement flink687 multipl part make far easier review concern descript flink2106 havent integr outer sort merg join optim api yet guess happen next step mayb updat descript flink2106 accord look good,code/design_debt,195,train
method primit,code/design_debt,196,train
twoinputstreamoper oneinputstreamoper intern class mention use generic oper one input term,code/design_debt,197,train
batch option remov mapstat favor parallel process exist opaqu transact logic handl consist cassandra batch statement troubl theyr worth,code/design_debt,198,train
would chang need touch packag name sourc includ apach chang packag name orgapachetrafodion sourc file layout make consist,code/design_debt,199,train
might easier read use multipl line,code/design_debt,200,train
let put paramet make method bit general,code/design_debt,201,train
seed necessari sinc use approxquantil ad spark remov involv break chang,code/design_debt,202,train
maektwain iter follow process describ httpsgithubcomapachefineractpullrequest smilingimp add well could written clear readm improv smileycat,documentation_debt,203,train
reason doesnt handl error dont think need new inner method also duplic job cleanup code,code/design_debt,207,train
ignite11261 flaki testtestnaivebagginglogregress,test_debt,208,train
bad accord tidyvers style guid believ tri follow httpsstyletidyverseorgfunctionshtmllonglines1 get use whatev style convent decid want make sure agreement,code/design_debt,210,train
also there need stringformat precondit interpol realiz stringformatwa let take chanc get rid,code/design_debt,211,train
afaik dont style guid java code think put space cast,code/design_debt,214,train
feel like collect redund get name internaltopicconfig perhap,code/design_debt,215,train
nit possibl addit test statement minut second togeth line 743 make sure never mind miss land alreadi branch24,code/design_debt,216,train
rather use mute think would much clearer alia boolean name guaranteeexpirationord similar guaranteemessageord boolean sender,code/design_debt,217,train
also like see test lead space,test_debt,218,train
concern dbtsai comment consum api alreadi cach dataset learn phase without user care introduc effect doubl cach term data size cach rdds caus mani job fail upgrad exceed avail heap rdd cach furthermor make assumpt cach inmemori case parameteris perhap help send messag api cach also done learn fwiw inmemori definit right default choic see email thread dev specif encount bug httpmailarchivesapacheorgmodmboxsparkdev201502mbox3ccah5mzvmbjqost9nr90001z1ruodfsiczrfv9000wqdfqamnlc2zw40mailgmailcom3,code/design_debt,219,train
need think reus utf8str object trivial decis like leav,code/design_debt,220,train
still think need better name pendinginsyncreplicaid sinc mislead case mayb could call overrideinsyncreplicaid someth like,code/design_debt,222,train
remov sentenc need anymor,code/design_debt,223,train
actual think safe fix need adjust valu test easiest way allow intern configur problem integr test hard set configur valu runtim compon otherwis,code/design_debt,224,train
spark16008ml remov unnecessari serial logist regress,code/design_debt,228,train
rep onurkaraman removegroup alway guard group lock insid groupcoordin getgroup addgroup sinc group object avail yet make clear comment rep junrao ack,documentation_debt,229,train
nit use multilin string,code/design_debt,230,train
look good still anoth thoughtno bind follow ignor sinc root caus narrow window queuepacket cleanup synchron objectlock also altern way one better sinc outgoingqueu critic queue client talk server synchron outgoingqueu perform futur program extens issu haha also test global inner word follow way new two differ zookeep client creat znode print hashcod outgoingqueu state realli hold differ outgoingqueu hashcod state realli confus believ differ client differ state instanc otherwis one client call closeset state close affect anoth client howev use follow way cannot reason javap see bytecod valu set state public static final realli globalshar multicli synchron enum also threadsaf look demo attach jira word enum heresi,code/design_debt,231,train
simplifi,code/design_debt,232,train
ive renam made confus imagin leveldb there separ suit leveldb kvstore sound better,code/design_debt,233,train
messag look littl bit mislead mistaken,code/design_debt,234,train
sirpkt patch look good one suggest test method name prefix test exampl lastvalue1 testlastvalue1 trivial immedi commit patch fix,code/design_debt,235,train
remov useless shortopt,code/design_debt,237,train
quick question avoid catch nullpointerexcept bit odd catch nullpointerexcept could switch ifels guess,code/design_debt,238,train
input first input output next output variabl,documentation_debt,239,train
unnecessari whitespac,code/design_debt,241,train
sborya agre pretti convolut howev prateekm discuss option extens past work samza1212httpsissuesapacheorgjirabrowsesamza1212 explain fulli clear wirein sourc stop caus stop streamprocessor across compon dont believ straightforward pass throwabl could work becom particular tricki bound job job decid stop use taskcoordin approach suggest equival thread needl end pass around statesourc stop across compon api callback altern straightforward solut imo clear defin state model compon persistmanag status streamprocessor way make easier streamprocessor take remedi step discuss howev simpli bugfix scrutin refactoringbehavior api separ threadjira think,code/design_debt,242,train
could add check verifi return iter empti someth along line assertthatiteratorhasnext isfals could also add test rang queri start key equal end key unit test ensur correct behaviour special case nit would renam test shouldreturnemptyiteratorforrangequerywithinvalidkeyrang correct wrong think empti iter invalid key rang point negat start key would even chang rang took bit understand invalid rang comment appli also unit test,code/design_debt,243,train
test orgapachecamelquarkuscorecoretesttestlookuprout todo 2nd rout routebuilderconfigur discov use produc annot jee camel cannot discov sure make possibl regular routebuild class discov via jandex index ad record magic would assum produc annot cdije would also work sinc bean inject somewher arc may trigger mayb need jandex magic discov method return routebuilderconfigur annot produc record method whatev need done,test_debt,245,train
hard code good way,code/design_debt,246,train
usergrid415 push chang make duplic properti readabl,code/design_debt,247,train
could pleas factor logic separ method,code/design_debt,251,train
ad null map testcas remov redund implement remov sqlfunctionsscala problem remov could check,code/design_debt,252,train
code seem fine howev seem like would good least log transid except better track downcorrel issu fact,code/design_debt,253,train
miss someth your use raw type sever place raw type exist migrat compat purpos never use new code imo,code/design_debt,254,train
hivehook shouldnt think must includ someon els commit rebas tidi forc push later today,code/design_debt,255,train
pleas add javadoc,documentation_debt,256,train
well say differ python person may know jvm stack trace mean take away doesnt much except shorten big dump output doesnt realli simplifi much take away import inform perhap someon els make sens isnt make usag debug harder remov unhelp stack trace consol see,code/design_debt,257,train
might abl creat util method abstract class like byte getrowstr row string encod sinc look puthbasecel puthbasejson need logic,code/design_debt,258,train
csourcemodul empti string look well kumasento could instead creat dummi llvm modul thank,code/design_debt,259,train
least add test case new option,test_debt,260,train
jira httpsissuesapacheorgjirabrowsespark17698 extractequijoinkey incorrect use filter predic join condit join canevalu tri see express evalu use output given plan case filter predic aid1 express pass right hand side liter attribut refer thus exprrefer empti set theoret subset set lead canevalu return true aid1 treat join predic lead incorrect result case bucket sort tabl might miss avoid unnecessari shuffl sort see exampl httpsgithubcomapachesparkblobmastersqlcatalystsrcmainscalaorgapachesparksqlcatalystexpressionspredicatesscalal91 shuffl sort tabl scan output need tabl bucket sort column number bucket singl stage job ad new test case scenario spark17698 join predic contain filter claus ran test bucketedreadsuit,code/design_debt,261,train
fair ad still perfect least perfect pipelin without bundl failur hope pipelin,code/design_debt,263,train
add test coder exampl add test pyflinkfnexecutiontest,test_debt,264,train
current kafkarecorddesri follow problem miss open method context serial deseri purpos chang fix issu renam kafkarecorddeseri kafkarecorddeserializationschema follow name convent ad method getusercodeclassload sourcereadercontext sourceread implement construct serializationdeserializationcontext ad method valueon open kafkarecorddeserializationschema interfac enabl reus deserializationschema kafkadeserializationschema ad method setvalueonlydeseri kafkasourcebuild class make easi set valueon deseri ad unit test testingdeserializationcontext kafkarecorddeserializationschematest ad test kafkarecorddeserializationschematest verifi chang made kafkarecorddeserializationschema,code/design_debt,265,train
format new line would easier read,code/design_debt,266,train
thank keep work thank think realli take peopl surpris regist camel rout singl camel context bundl point apach karaf like app server bundl isol goe practic document much much clear also lack featur eas use configur camel context end default would peopl depend inject bean etc also renam camelosgiactiv move compon core piec use osgi like osgi blueprint main osgi support camel,documentation_debt,267,train
introduc tablesinkfactorycontextimpl class reduc mani anonym class,code/design_debt,268,train
need explain algorithm thorough around done sequenc specif also unit test focus specif algorithm strong character proper behavior insur full coverag,test_debt,269,train
issu 9725transact fix deletetransactionmark memori leak,code/design_debt,270,train
circl back ask benstopford remov test doc new sinc bit context,documentation_debt,271,train
coupl cdninabox servic take much longer build ought long take send build context daemon dont actual need context size reduc servic context necessari build cdn box build cdninabox,code/design_debt,273,train
nit move previous line,code/design_debt,274,train
miss space setup data,code/design_debt,275,train
configur option symmetr lead confus allow overrid possibl code ignor config store whitelist tag joblevel whitelist specifi ad joblevel blacklist tagbas blacklist,code/design_debt,277,train
fix flaki test case workertest mock executorservic worker previous use real thread pool executor task may may run executor end test relat jira issu ran test gradlew test ran unit test connectruntim repeat,test_debt,278,train
